constituent_id,first_gift_date,last_gift_date,lifetime_gifts,lifetime_giving,average_gift,largest_gift,donor_level,retention_status,has_open_pledge,household_id,giving_2021,giving_2022,giving_2023,giving_2024,giving_2025
1,2023-01-15,2025-04-22,8,30111.22,3763.9025,6691.1,Principal,Retained,True,,0.0,0.0,6873.26,20132.2,3105.76
2,2023-03-07,2025-04-23,10,63598.92,6359.892,14413.02,Principal,Retained,False,,0.0,0.0,40110.939999999995,16348.02,7139.96
3,2022-01-03,2025-02-01,6,26110.14,4351.69,9569.28,Principal,Retained,False,,0.0,8052.1,0.0,14734.54,3323.5
4,2022-10-01,2024-11-27,11,145354.68,13214.061818181817,21962.26,Principal,Lapsed,False,,0.0,17830.78,21962.26,105561.64,0.0
5,2023-08-04,2024-10-10,6,34593.979999999996,5765.663333333333,10960.84,Principal,Lapsed,False,,0.0,0.0,15336.74,19257.24,0.0
6,2024-08-08,2025-01-14,4,19758.98,4939.745,6047.68,Major,Retained,False,,0.0,0.0,0.0,15814.16,3944.82
7,2024-01-25,2025-03-28,13,71921.82,5532.447692307693,12450.28,Principal,Retained,True,,0.0,0.0,0.0,65043.18,6878.639999999999
8,2025-03-19,2025-05-15,2,44878.26,22439.13,25393.7,Principal,Reactivated,False,,0.0,0.0,0.0,0.0,44878.26
9,2021-05-09,2025-05-05,21,78372.684,3732.032571428571,13879.38,Principal,Retained,False,,4692.48,12997.64,6686.9400000000005,43880.924,10114.699999999999
10,2021-10-02,2025-02-03,9,7969.82,885.5355555555556,1898.34,Major,Retained,False,,205.82,722.94,0.0,5764.76,1276.3
11,2024-04-14,2025-02-09,5,18488.76,3697.7519999999995,4590.38,Major,Retained,False,,0.0,0.0,0.0,15665.119999999999,2823.64
12,2022-11-27,2025-04-23,23,23857.088,1037.264695652174,2591.3,Major,Retained,False,,0.0,555.98,6948.947999999999,13079.640000000001,3272.5200000000004
13,2024-01-16,2025-03-21,11,53295.8,4845.072727272727,13706.06,Principal,Retained,False,,0.0,0.0,0.0,45931.68,7364.12
14,2024-07-20,2025-02-14,7,36986.96,5283.851428571428,14780.6,Principal,Retained,False,,0.0,0.0,0.0,32606.12,4380.84
15,2024-07-31,2025-02-10,4,2699.2400000000002,674.8100000000001,1697.88,Mid-level,Retained,False,,0.0,0.0,0.0,2134.2000000000003,565.04
16,2024-05-11,2024-10-05,4,52200.96,13050.24,18107.06,Principal,Lapsed,False,,0.0,0.0,0.0,52200.96000000001,0.0
17,2021-05-19,2025-04-22,15,100763.86,6717.590666666667,13333.92,Principal,Retained,False,,27856.399999999998,21741.44,16955.72,29014.120000000003,5196.18
18,2024-09-16,2025-03-28,12,12324.039999999999,1027.0033333333333,2111.88,Major,Retained,False,,0.0,0.0,0.0,9228.719999999998,3095.3199999999997
19,2021-11-22,2025-03-15,26,95481.4,3672.361538461538,8079.54,Principal,Retained,False,,10830.779999999999,11008.9,26449.34,38451.08,8741.3
20,2021-05-05,2025-05-07,56,704779.882,12585.355035714285,37796.48,Principal,Retained,False,,156282.082,144171.32,95781.65999999999,270588.34,37956.479999999996
21,2023-08-03,2024-11-02,9,35212.24,3912.471111111111,5896.38,Principal,Lapsed,False,,0.0,0.0,3294.58,31917.66,0.0
22,2024-01-08,2024-12-25,10,8034.0,803.4,1927.04,Major,Lapsed,False,,0.0,0.0,0.0,8034.0,0.0
23,2024-06-30,2025-04-22,11,26631.06,2421.0054545454545,3946.06,Principal,Retained,False,,0.0,0.0,0.0,16910.239999999998,9720.82
24,2024-10-06,2024-12-30,3,8261.18,2753.726666666667,3891.54,Major,Lapsed,False,,0.0,0.0,0.0,8261.18,0.0
25,2023-05-02,2025-02-21,5,338434.38,67686.876,115254.44,Principal,Retained,False,,0.0,0.0,25975.16,205960.56,106498.66
26,2023-11-08,2025-03-07,4,2732.3,683.075,1364.38,Mid-level,Retained,False,,0.0,0.0,722.36,1737.48,272.46
27,2023-05-28,2025-05-17,8,9145.62,1143.2025,2314.4,Major,Retained,False,,0.0,0.0,3026.18,3503.46,2615.98
29,2021-10-14,2024-12-14,12,12289.16,1024.0966666666666,1841.38,Major,Lapsed,False,,813.82,740.3,7075.160000000001,3659.88,0.0
30,2025-05-10,2025-05-10,1,3071.22,3071.22,3071.22,Mid-level,Reactivated,False,,0.0,0.0,0.0,0.0,3071.22
31,2024-10-05,2024-11-17,5,34996.88,6999.375999999999,13323.92,Principal,Lapsed,False,,0.0,0.0,0.0,34996.880000000005,0.0
32,2021-12-24,2025-02-04,6,38721.46,6453.576666666667,9876.36,Principal,Retained,False,,9114.54,9876.36,8451.119999999999,5722.22,5557.22
33,2021-04-15,2025-03-16,33,147683.856,4475.268363636364,12474.04,Principal,Retained,False,,50834.95999999999,26212.78,14881.0,48841.56,6913.5560000000005
34,2024-06-26,2024-12-19,6,16644.22,2774.036666666667,4079.72,Major,Lapsed,False,,0.0,0.0,0.0,16644.219999999998,0.0
35,2023-10-04,2025-04-23,13,47207.34,3631.333846153846,11115.36,Principal,Retained,False,,0.0,0.0,4314.08,30405.82,12487.44
36,2024-07-18,2025-03-26,10,73904.82,7390.482000000001,12162.22,Principal,Retained,False,,0.0,0.0,0.0,59198.060000000005,14706.760000000002
37,2023-08-06,2025-05-14,13,301413.88,23185.683076923076,59419.04,Principal,Retained,True,,0.0,0.0,85268.04000000001,148121.74,68024.1
38,2024-09-30,2025-02-05,5,5827.14,1165.428,2939.32,Major,Retained,True,,0.0,0.0,0.0,5531.120000000001,296.02
39,2022-03-19,2025-03-13,26,128027.66,4924.140769230769,11631.48,Principal,Retained,False,,0.0,23431.940000000002,4134.76,83733.35999999999,16727.6
40,2024-07-24,2025-02-05,5,5227.0,1045.4,2766.0,Major,Retained,False,,0.0,0.0,0.0,3956.0,1271.0
41,2023-04-28,2024-12-16,8,4287.7,535.9625,768.74,Mid-level,Lapsed,False,,0.0,0.0,175.8,4111.9,0.0
42,2023-05-07,2025-05-23,23,90621.4,3940.060869565217,12135.68,Principal,Retained,False,,0.0,0.0,25727.800000000003,48831.78,16061.82
43,2024-01-24,2025-03-15,12,12051.64,1004.3033333333333,2470.64,Major,Retained,False,,0.0,0.0,0.0,11573.2,478.44
44,2023-01-30,2025-03-28,9,37870.16,4207.795555555556,8262.36,Principal,Retained,False,,0.0,0.0,14038.2,9908.22,13923.739999999998
45,2021-10-01,2025-04-30,27,538951.5,19961.166666666668,65294.6,Principal,Retained,False,,29180.78,56134.020000000004,51639.979999999996,295109.0800000001,106887.63999999998
46,2023-08-17,2025-03-04,7,4490.3,641.4714285714286,896.1,Mid-level,Retained,False,,0.0,0.0,187.58,3406.62,896.1
47,2022-04-19,2024-11-28,8,1468609.88,183576.235,289646.92,Principal,Lapsed,False,,0.0,377420.5,80937.34,1010252.0399999999,0.0
48,2024-10-26,2025-02-02,6,20899.440000000002,3483.2400000000002,9395.2,Major,Retained,False,,0.0,0.0,0.0,11504.24,9395.2
49,2024-10-24,2025-01-11,2,23907.88,11953.94,14496.94,Major,Retained,False,,0.0,0.0,0.0,14496.94,9410.94
50,2024-10-27,2024-12-14,4,2706.88,676.72,849.62,Mid-level,Lapsed,False,,0.0,0.0,0.0,2706.8799999999997,0.0
51,2025-05-06,2025-05-06,1,1956.86,1956.86,1956.86,Mid-level,Reactivated,False,,0.0,0.0,0.0,0.0,1956.86
52,2024-01-20,2025-03-16,8,5733.54,716.6925,1657.52,Major,Retained,False,,0.0,0.0,0.0,4953.32,780.22
