relationship_id,constituent_id_a,constituent_id_b,relationship_type,start_date
1,1,1555,Business Associate,2024-03-14
2,1,2764,Business Associate,2024-03-24
3,2,1000,Business Associate,2022-07-16
4,2,1577,Business Associate,2024-08-24
5,3,4756,Business Associate,2025-03-05
6,3,1667,Business Associate,2021-11-30
7,4,832,Business Associate,2022-06-18
8,4,905,Business Associate,2025-02-05
9,4,1120,Business Associate,2022-06-18
10,5,1531,Business Associate,2022-03-10
11,6,772,Business Associate,2024-07-22
12,6,3121,Business Associate,2024-07-22
13,6,753,Business Associate,2024-07-22
14,7,2055,Business Associate,2024-12-29
15,8,2661,Business Associate,2025-01-17
16,9,1108,Business Associate,2021-08-28
17,9,3463,Business Associate,2025-02-16
18,9,1992,Business Associate,2021-09-15
19,10,1728,Business Associate,2022-07-19
20,11,2493,Business Associate,2023-11-21
21,12,3383,Business Associate,2023-05-30
22,12,4822,Business Associate,2023-10-14
23,13,4311,Business Associate,2023-11-20
24,13,4179,Business Associate,2023-11-20
25,13,1464,Business Associate,2023-11-20
26,14,810,Business Associate,2025-05-24
27,15,4083,Business Associate,2024-04-20
28,16,2943,Business Associate,2024-01-07
29,17,4097,Business Associate,2022-05-11
30,17,1648,Business Associate,2023-05-12
31,17,2056,Business Associate,2023-10-23
32,18,4933,Business Associate,2024-10-06
33,18,2879,Business Associate,2025-06-07
34,18,818,Business Associate,2025-06-27
35,19,3805,Business Associate,2023-09-13
36,20,2532,Business Associate,2023-01-22
37,20,1931,Business Associate,2024-11-11
38,20,3782,Business Associate,2022-02-07
39,21,2689,Business Associate,2023-08-19
40,21,2781,Business Associate,2023-09-09
41,22,1283,Business Associate,2023-12-29
42,22,789,Business Associate,2025-02-01
43,22,1195,Business Associate,2023-12-29
44,23,2302,Business Associate,2024-05-18
45,23,2732,Business Associate,2024-05-18
46,24,4504,Business Associate,2024-09-26
47,25,2667,Business Associate,2022-02-27
48,25,4114,Business Associate,2025-06-02
49,25,4120,Business Associate,2023-09-04
50,26,1251,Business Associate,2023-11-01
51,26,3018,Business Associate,2023-11-01
52,26,2605,Business Associate,2024-09-27
53,27,2675,Business Associate,2025-01-03
54,28,4457,Business Associate,2025-06-23
55,28,2072,Business Associate,2025-06-23
56,28,1205,Business Associate,2025-06-23
57,29,3100,Business Associate,2021-12-30
58,29,4199,Business Associate,2021-09-20
59,30,3180,Business Associate,2025-04-28
60,31,2369,Business Associate,2025-06-25
61,31,3860,Business Associate,2024-08-23
62,31,1136,Business Associate,2024-08-23
63,32,2489,Business Associate,2024-12-24
64,32,3319,Business Associate,2022-11-19
65,33,3668,Business Associate,2024-07-16
66,33,4853,Business Associate,2023-02-08
67,33,1530,Business Associate,2024-10-10
68,34,2807,Business Associate,2024-05-05
69,34,2204,Business Associate,2025-04-05
70,35,2652,Business Associate,2024-05-26
71,35,2581,Business Associate,2025-04-26
72,35,2492,Business Associate,2023-09-04
73,36,4062,Business Associate,2024-11-05
74,37,1540,Business Associate,2024-06-14
75,37,1023,Business Associate,2023-06-11
76,37,3201,Business Associate,2023-06-11
77,38,4632,Business Associate,2024-02-14
78,39,2200,Business Associate,2023-11-25
79,39,4834,Business Associate,2022-11-04
80,39,2042,Business Associate,2022-01-05
81,40,4835,Business Associate,2024-07-22
82,40,1340,Business Associate,2024-07-22
83,40,3237,Business Associate,2024-08-09
84,41,3122,Business Associate,2023-03-31
85,41,3134,Business Associate,2023-03-31
86,41,4525,Business Associate,2023-03-31
87,42,1903,Business Associate,2023-02-24
88,42,2419,Business Associate,2024-08-21
89,42,4568,Business Associate,2023-07-11
90,43,1253,Business Associate,2023-08-28
91,43,1053,Business Associate,2023-08-28
92,43,2761,Business Associate,2023-08-28
93,44,2886,Business Associate,2024-06-05
94,44,3210,Business Associate,2022-08-18
95,45,3407,Business Associate,2024-07-26
96,45,911,Business Associate,2023-07-02
97,46,1978,Business Associate,2023-07-05
98,46,4121,Business Associate,2023-07-05
99,46,2348,Business Associate,2024-01-13
100,47,2784,Business Associate,2024-02-13
101,47,4713,Business Associate,2023-06-10
102,47,1332,Business Associate,2024-10-06
103,48,2475,Business Associate,2024-10-26
104,49,1013,Business Associate,2024-08-23
105,49,3802,Business Associate,2024-08-23
106,49,3660,Business Associate,2024-08-23
107,50,3796,Business Associate,2025-05-21
108,50,3946,Business Associate,2025-05-27
109,51,2625,Business Associate,2024-11-03
110,51,3949,Business Associate,2024-11-03
111,52,948,Business Associate,2023-03-27
112,52,2357,Business Associate,2023-08-01
113,53,3462,Business Associate,2022-01-01
114,54,3803,Business Associate,2023-02-06
115,54,4391,Business Associate,2023-06-07
116,55,4307,Business Associate,2025-03-18
117,56,1883,Business Associate,2023-03-30
118,56,1183,Business Associate,2024-08-26
119,56,1740,Business Associate,2024-09-05
120,57,1825,Business Associate,2024-03-11
121,57,4512,Business Associate,2025-05-30
122,58,1930,Business Associate,2022-01-13
123,58,2240,Business Associate,2022-06-25
124,58,4138,Business Associate,2022-03-08
125,59,1664,Business Associate,2025-02-12
126,59,2519,Business Associate,2022-09-10
127,60,1358,Business Associate,2022-03-06
128,60,1639,Business Associate,2024-07-03
129,61,4634,Business Associate,2023-07-31
130,61,4301,Business Associate,2023-07-22
131,62,1368,Business Associate,2023-06-15
132,63,1932,Business Associate,2024-11-23
133,63,998,Business Associate,2024-07-30
134,64,3489,Business Associate,2022-02-20
135,65,3545,Business Associate,2025-02-14
136,65,1385,Business Associate,2023-10-07
137,65,2944,Business Associate,2023-10-07
138,66,2684,Business Associate,2023-01-31
139,66,1311,Business Associate,2024-03-22
140,67,2876,Business Associate,2023-09-18
141,68,3615,Business Associate,2024-09-30
142,69,889,Business Associate,2025-03-21
143,70,4897,Business Associate,2022-12-01
144,70,4687,Business Associate,2022-05-22
145,70,1346,Business Associate,2022-05-22
146,71,797,Business Associate,2024-03-02
147,72,1078,Business Associate,2025-02-27
148,72,2886,Business Associate,2024-06-05
149,72,1287,Business Associate,2024-03-13
150,73,3047,Business Associate,2025-05-20
151,74,2930,Business Associate,2024-04-03
152,74,1365,Business Associate,2022-11-27
153,74,1774,Business Associate,2022-09-26
154,75,4392,Business Associate,2022-05-31
155,76,1913,Business Associate,2023-10-17
156,77,4075,Business Associate,2022-04-03
157,77,2424,Business Associate,2022-04-03
158,77,3074,Business Associate,2022-04-03
159,78,4903,Business Associate,2025-04-11
160,78,2355,Business Associate,2025-04-11
161,79,3253,Business Associate,2025-03-07
162,79,991,Business Associate,2025-03-07
163,79,1869,Business Associate,2025-03-07
164,80,961,Business Associate,2025-02-25
165,80,3783,Business Associate,2022-10-27
166,80,4704,Business Associate,2024-02-15
167,81,1431,Business Associate,2023-09-15
168,82,2497,Business Associate,2024-07-02
169,82,3287,Business Associate,2024-04-09
170,83,2009,Business Associate,2023-10-24
171,83,3564,Business Associate,2022-11-14
172,84,2925,Business Associate,2025-01-26
173,84,3201,Business Associate,2023-09-20
174,84,3831,Business Associate,2023-09-20
175,85,1758,Business Associate,2024-10-13
176,86,3748,Business Associate,2024-12-13
177,86,2176,Business Associate,2022-07-07
178,86,2035,Business Associate,2022-03-02
179,87,2493,Business Associate,2023-02-13
180,88,2788,Business Associate,2025-03-14
181,88,4803,Business Associate,2023-06-23
182,89,4190,Business Associate,2025-05-08
183,89,886,Business Associate,2024-06-04
184,90,2031,Business Associate,2025-04-15
185,90,1732,Business Associate,2025-02-20
186,90,1409,Business Associate,2025-03-20
187,91,3204,Business Associate,2024-09-13
188,91,4015,Business Associate,2024-09-13
189,92,4559,Business Associate,2024-02-24
190,92,3827,Business Associate,2024-02-24
191,93,3157,Business Associate,2024-07-08
192,94,3333,Business Associate,2024-06-17
193,94,4268,Business Associate,2024-06-17
194,94,4670,Business Associate,2024-06-17
195,95,2011,Business Associate,2025-01-15
196,95,2162,Business Associate,2025-01-15
197,95,1476,Business Associate,2025-01-15
198,96,4302,Business Associate,2024-09-10
199,96,4288,Business Associate,2024-03-06
200,96,1710,Business Associate,2022-01-25
201,97,4782,Business Associate,2022-07-14
202,97,890,Business Associate,2022-06-15
203,98,1890,Business Associate,2022-10-15
204,98,3108,Business Associate,2023-11-11
205,99,925,Business Associate,2024-03-11
206,99,4209,Business Associate,2025-03-20
207,100,3408,Business Associate,2025-01-06
208,100,2356,Business Associate,2025-01-06
209,100,2378,Business Associate,2025-01-06
210,101,966,Business Associate,2022-12-06
211,102,4217,Business Associate,2024-05-27
212,102,3142,Business Associate,2021-09-21
213,102,2394,Business Associate,2022-05-19
