transaction_id,constituent_id,appeal_id,campaign_id,fund_id,date,amount,payment_method,type,status
1,3884,1,1,8,2022-07-05,29.44,Credit Card,Gift,Completed
2,77,1,1,8,2022-07-11,4641.92,ACH,Gift,Completed
3,2326,1,1,1,2022-07-03,108.46,Credit Card,Gift,Completed
4,4332,1,1,8,2022-06-25,186.68,Check,Gift,Completed
5,3315,1,1,8,2022-07-02,58.9,Credit Card,Gift,Completed
6,1122,1,1,8,2022-07-01,178.98,Credit Card,Gift,Completed
7,120,1,1,8,2022-07-04,6842.66,Check,Gift,Completed
8,3339,1,1,1,2022-06-27,71.06,Other,Gift,Completed
9,3983,1,1,8,2022-07-02,33.36,Other,Gift,Completed
10,3024,1,1,1,2022-06-28,130.54,Credit Card,Gift,Completed
11,2663,1,1,1,2022-07-03,3194.86,Check,Gift,Completed
12,2608,1,1,8,2022-07-05,816.94,Credit Card,Gift,Completed
13,820,1,1,8,2022-07-05,113.5,Check,Gift,Completed
14,178,1,1,8,2022-06-29,1033.82,Credit Card,Gift,Completed
15,4852,1,1,8,2022-07-09,144.84,Credit Card,Gift,Completed
16,2518,1,1,8,2022-07-09,345.82,Credit Card,Gift,Completed
17,4638,1,1,8,2022-06-28,25.78,Credit Card,Gift,Completed
18,162,1,1,1,2022-07-04,166583.54,Other,Gift,Completed
19,567,1,1,1,2022-07-09,1816.94,Credit Card,Gift,Completed
20,1714,1,1,8,2022-07-05,225.32,Credit Card,Gift,Completed
21,1322,1,1,8,2022-07-03,45.7,Credit Card,Gift,Completed
22,1730,1,1,8,2022-07-04,144.04,Credit Card,Gift,Completed
23,2472,1,1,8,2022-07-02,155.36,Credit Card,Gift,Completed
24,3993,1,1,8,2022-07-03,22.98,Credit Card,Gift,Completed
25,4983,1,1,8,2022-07-08,11.24,Credit Card,Gift,Completed
26,258,1,1,8,2022-06-30,434.0,Check,Gift,Completed
27,1496,1,1,8,2022-07-03,351.26,Credit Card,Gift,Completed
